"Date","Manip","Area","AirTemperature","PAR","RH","VPD"
2013-01-23 04:00:00,"ZA13","04_p",11.4,0,58.1,0.566873809420913
2013-01-23 04:00:00,"ZA13","05_p",11.2,0,56.9,0.575431280832417
2013-01-23 04:00:00,"ZA13","06_p",11.7,0.2,56.4,0.601694486078491
2013-01-23 04:15:00,"ZA13","01_p",11.3,0,57.1,0.576570895475427
2013-01-23 04:15:00,"ZA13","02_p",11.8,0,55.6,0.616794309149319
2013-01-23 04:15:00,"ZA13","04_p",11.3,0,57.9,0.565818990664696
2013-01-23 04:15:00,"ZA13","05_p",11.3,1,56.9,0.579258871678109
2013-01-23 04:15:00,"ZA13","06_p",11.6,0.2,56.3,0.599102128900533
2013-01-23 04:30:00,"ZA13","01_p",11.3,0,57.4,0.572538931171403
2013-01-23 04:30:00,"ZA13","02_p",11.5,0,56.2,0.596514694155362
2013-01-23 04:30:00,"ZA13","04_p",11.2,0,58.3,0.556739777510714
2013-01-23 04:30:00,"ZA13","05_p",11.2,0,57.2,0.571425958692052
2013-01-23 04:30:00,"ZA13","06_p",11.6,0,56.6,0.594989299640347
2013-01-23 04:45:00,"ZA13","01_p",11.3,0,57.9,0.565818990664696
2013-01-23 04:45:00,"ZA13","02_p",11.6,0,56.7,0.593618356553617
2013-01-23 04:45:00,"ZA13","04_p",11.1,0,58.9,0.545100407563626
2013-01-23 04:45:00,"ZA13","05_p",11.1,0,57.8,0.559689469566546
2013-01-23 04:45:00,"ZA13","06_p",11.5,0,57.2,0.582895637211176
2013-01-23 05:00:00,"ZA13","01_p",11,0,58.5,0.546762829959946
2013-01-23 05:00:00,"ZA13","02_p",11.4,0,57.2,0.57905009649678
2013-01-23 05:00:00,"ZA13","04_p",11.1,0,59.6,0.535816459016314
2013-01-23 05:00:00,"ZA13","05_p",11,0,58.4,0.54808033075503
2013-01-23 05:00:00,"ZA13","06_p",11.5,0,57.6,0.577448014433501
2013-01-23 05:15:00,"ZA13","01_p",11.1,0,59.1,0.542447850835823
2013-01-23 05:15:00,"ZA13","02_p",11.4,0,57.6,0.57363841335195
2013-01-23 05:15:00,"ZA13","04_p",11,0,59.9,0.528317818828767
2013-01-23 05:15:00,"ZA13","05_p",10.9,0.1,58.7,0.540523834269415
2013-01-23 05:15:00,"ZA13","06_p",11.4,0.5,58.2,0.565520888634706
2013-01-23 05:30:00,"ZA13","01_p",11.1,0,59.5,0.537142737380216
2013-01-23 05:30:00,"ZA13","02_p",11.5,0,57.9,0.573362297350245
2013-01-23 05:30:00,"ZA13","04_p",11,0,60.4,0.521730314853346
2013-01-23 05:30:00,"ZA13","05_p",10.9,0,59.4,0.531362413349594
2013-01-23 05:30:00,"ZA13","06_p",11.3,0.3,58.7,0.555067085853965
2013-01-23 05:45:00,"ZA13","01_p",11,0,59.9,0.528317818828767
2013-01-23 05:45:00,"ZA13","02_p",11.2,0,58.4,0.555404670130593
2013-01-23 05:45:00,"ZA13","04_p",11,0,60.9,0.515142810877925
2013-01-23 05:45:00,"ZA13","05_p",11,0,59.7,0.530952820418935
2013-01-23 05:45:00,"ZA13","06_p",11.2,0.1,59,0.547394025849863
2013-01-23 06:00:00,"ZA13","01_p",10.9,0,60.4,0.518274669178422
2013-01-23 06:00:00,"ZA13","02_p",11.4,0,58.9,0.556050443131254
2013-01-23 06:00:00,"ZA13","04_p",11,0,61.2,0.511190308492672
2013-01-23 06:00:00,"ZA13","05_p",10.9,0,60.2,0.520892218012656
2013-01-23 06:00:00,"ZA13","06_p",11.2,0,59.6,0.539383381569133
2013-01-23 06:15:00,"ZA13","01_p",11,0,60.7,0.517777812468093
2013-01-23 06:15:00,"ZA13","02_p",11.2,0,58.9,0.548729133229985
2013-01-23 06:15:00,"ZA13","04_p",10.9,0,61.5,0.503878150590132
2013-01-23 06:15:00,"ZA13","05_p",10.7,0,60.5,0.510132314031753
2013-01-23 06:15:00,"ZA13","06_p",11.1,0,59.8,0.53316390228851
2013-01-23 06:30:00,"ZA13","01_p",10.9,0,61,0.510422022675718
2013-01-23 06:30:00,"ZA13","02_p",11.2,0,59.2,0.54472381108962
2013-01-23 06:30:00,"ZA13","04_p",11,0,61.9,0.501967802927083
2013-01-23 06:30:00,"ZA13","05_p",10.7,0.1,60.7,0.507549365606276
2013-01-23 06:30:00,"ZA13","06_p",11.2,0,60.2,0.531372737288404
2013-01-23 06:45:00,"ZA13","01_p",10.8,0,61.1,0.505738501077322
2013-01-23 06:45:00,"ZA13","02_p",11.1,0,59.5,0.537142737380216
2013-01-23 06:45:00,"ZA13","04_p",10.8,0,62.2,0.491437412357912
2013-01-23 06:45:00,"ZA13","05_p",10.7,0,60.7,0.507549365606276
2013-01-23 06:45:00,"ZA13","06_p",11.1,0.1,60.3,0.526532510469002
2013-01-23 07:00:00,"ZA13","01_p",10.9,0,61.3,0.506495699424367
2013-01-23 07:00:00,"ZA13","02_p",11.1,0,60,0.530511345560707
2013-01-23 07:00:00,"ZA13","04_p",10.5,0.3,62.4,0.479165270400506
2013-01-23 07:00:00,"ZA13","05_p",10.6,0.6,61.1,0.499048052707182
2013-01-23 07:00:00,"ZA13","06_p",10.9,0,60.8,0.513039571509953
2013-01-23 07:15:00,"ZA13","01_p",10.7,0,61.9,0.492051675053412
2013-01-23 07:15:00,"ZA13","02_p",10.9,0,61.2,0.507804473841484
2013-01-23 07:15:00,"ZA13","04_p",10.6,0,63,0.474672955017114
2013-01-23 07:15:00,"ZA13","05_p",10.5,0.1,61.5,0.490634651872859
2013-01-23 07:15:00,"ZA13","06_p",10.8,0.2,61.4,0.501838204153847
2013-01-23 07:30:00,"ZA13","01_p",10.8,0,62.2,0.491437412357912
2013-01-23 07:30:00,"ZA13","02_p",10.8,0,61.5,0.500538105179355
2013-01-23 07:30:00,"ZA13","04_p",10.6,0,63.1,0.473390055138689
2013-01-23 07:30:00,"ZA13","05_p",10.5,0.6,61.9,0.485537148996257
2013-01-23 07:30:00,"ZA13","06_p",10.8,0.1,61.8,0.49663780825588
2013-01-23 07:45:00,"ZA13","01_p",10.6,0,62.5,0.481087454409237
2013-01-23 07:45:00,"ZA13","02_p",10.9,0,61.5,0.503878150590132
2013-01-23 07:45:00,"ZA13","04_p",10.5,0,63.3,0.467695888928154
2013-01-23 07:45:00,"ZA13","05_p",10.5,0,62,0.484262773277107
2013-01-23 07:45:00,"ZA13","06_p",10.8,0.1,61.9,0.495337709281388
2013-01-23 08:00:00,"ZA13","01_p",10.7,0,62.4,0.485594303989719
2013-01-23 08:00:00,"ZA13","02_p",10.8,0,61.6,0.499238006204863
2013-01-23 08:00:00,"ZA13","04_p",10.6,0,63.4,0.469541355503415
